calc_forces_ms,update_points_ms,update_bitmap_ms
0.014944,0.066048,0.024832
0.001664,0.04128,0.019808
0.001664,0.040896,0.016672
0.001632,0.040448,0.017248
0.001632,0.041568,0.017632
0.001632,0.058944,0.021056
0.001632,0.039104,0.018752
0.001632,0.041248,0.014464
0.001632,0.04096,0.014848
0.001632,0.040608,0.014816
0.00176,0.041312,0.015392
0.001632,0.046336,0.014368
0.001632,0.040416,0.014432
0.001632,0.039072,0.014944
0.00176,0.04096,0.014624
0.001728,0.040512,0.014336
0.001632,0.040384,0.014464
0.001632,0.040704,0.014112
0.001632,0.039968,0.014496
0.001664,0.038336,0.01408
0.001632,0.039616,0.014432
0.001664,0.045248,0.014688
0.001632,0.040352,0.014528
0.001632,0.040064,0.014656
0.001632,0.040704,0.014528
0.001632,0.042656,0.014432
0.001632,0.037952,0.01456
0.001888,0.037408,0.015168
0.001664,0.04064,0.0144
0.001632,0.040352,0.015296
0.001632,0.041056,0.014848
0.001664,0.040352,0.014944
0.001664,0.040576,0.0144
0.001632,0.060224,0.018528
0.001664,0.039744,0.017504
0.001664,0.040416,0.014176
0.001632,0.044,0.014304
0.001632,0.040992,0.014688
0.001632,0.041312,0.0176
0.00176,0.040128,0.014752
0.001632,0.040224,0.01472
0.001632,0.041664,0.013728
0.001664,0.04032,0.014464
0.001632,0.040576,0.014272
0.001632,0.040544,0.014752
0.001632,0.04112,0.014688
0.001664,0.040992,0.014912
0.001632,0.040704,0.014496
0.001632,0.04048,0.014976
0.001664,0.040704,0.014176
0.001664,0.042144,0.014976
0.001632,0.040672,0.014656
0.001664,0.0408,0.01472
0.001664,0.041088,0.0144
0.001632,0.040736,0.01472
0.00176,0.0408,0.014944
0.001632,0.041216,0.015488
0.001632,0.038272,0.014752
0.001792,0.0408,0.014784
0.003104,0.042112,0.014656
0.001888,0.040064,0.01424
0.003296,0.040576,0.01472
0.001632,0.040096,0.014432
0.001632,0.04128,0.015232
0.001632,0.039744,0.014976
0.001632,0.040544,0.014816
0.001632,0.042368,0.01472
0.001632,0.041408,0.015552
0.001632,0.039936,0.014784
0.001664,0.039776,0.01488
0.001664,0.041216,0.014368
0.001632,0.037984,0.01424
0.001664,0.040672,0.014784
0.001632,0.040896,0.014368
0.001632,0.040352,0.014304
0.00176,0.062432,0.01504
0.001664,0.045248,0.01504
0.001728,0.040896,0.0144
0.001664,0.04,0.01456
0.001632,0.040704,0.014784
0.001664,0.06064,0.017312
0.001664,0.039616,0.014272
0.011104,0.041728,0.021344
0.001632,0.039776,0.014336
0.001632,0.041344,0.014688
0.001632,0.038368,0.015104
0.001664,0.04064,0.014464
0.001792,0.040896,0.014752
0.001632,0.037984,0.015072
0.001632,0.040384,0.014272
0.001664,0.040544,0.014144
0.001664,0.039104,0.014048
0.001632,0.038112,0.014944
0.005792,0.03792,0.015552
0.001664,0.038912,0.015744
0.001664,0.03952,0.015072
0.001632,0.038784,0.015264
0.001696,0.04016,0.016416
0.001728,0.038656,0.015552
0.001728,0.036512,0.015264
0.001664,0.039104,0.015904
0.001632,0.039392,0.01664
0.001632,0.038816,0.025984
0.005024,0.039232,0.015296
0.001664,0.038528,0.015616
0.001632,0.062368,0.019392
0.001664,0.037792,0.022112
0.001632,0.040416,0.015424
0.00176,0.038912,0.015968
0.001696,0.039648,0.01552
0.001664,0.038464,0.015264
0.001632,0.039168,0.01568
0.001824,0.039232,0.015488
0.001632,0.038432,0.015296
0.001632,0.037984,0.015648
0.001632,0.037856,0.015552
0.001696,0.03936,0.016544
0.001824,0.042816,0.015616
0.001664,0.03824,0.015296
0.001664,0.038592,0.01552
0.001632,0.041664,0.015264
0.001856,0.038112,0.01664
0.001664,0.038688,0.015424
0.001696,0.038464,0.015872
0.001664,0.039424,0.015456
0.003552,0.038688,0.01568
0.001632,0.038688,0.015744
0.001664,0.038912,0.015168
0.00192,0.040256,0.016352
0.001632,0.03856,0.015488
0.001664,0.039808,0.016128
0.002016,0.038976,0.014976
0.010368,0.03952,0.015776
0.001632,0.03808,0.01664
0.001888,0.038976,0.015232
0.001664,0.038528,0.015392
0.001632,0.038848,0.015616
0.005792,0.040832,0.01456
0.001632,0.040288,0.014656
0.001632,0.039936,0.01424
0.001632,0.040032,0.014624
