calc_forces_ms,update_points_ms,update_bitmap_ms
10613.5,3.6049,1.9615
11575.6,3.52093,1.96365
11363.8,4.0761,1.97853
13184.9,4.07254,1.97885
13184.9,4.08304,1.97962
13184.9,4.06179,1.97517
13184.9,4.07334,1.97898
13184.9,4.09056,1.97914
13184.9,4.07562,1.97946
13184.9,4.07405,1.9793
13184.8,4.07382,1.97814
13184.9,4.05606,1.9743
13184.9,4.07715,1.97846
13184.9,4.05642,1.97392
13184.9,4.05741,1.97549
13184.9,4.07437,1.97811
13184.9,4.05683,1.97357
13184.9,4.07514,1.97978
13184.9,4.05539,1.97437
13184.8,4.07392,1.97894
