calc_forces_ms,update_points_ms,update_bitmap_ms
514.999,0.205024,0.703808
500.627,0.152928,0.16144
497.687,0.171872,0.164992
497.56,0.157056,0.161568
494.162,0.153376,0.162496
497.272,0.15472,0.169184
498.159,0.152928,0.167008
497.352,0.1704,0.166592
493.503,0.153952,0.164768
494.94,0.150688,0.164992
498.549,0.148768,0.165376
499.877,0.154912,0.167744
494.015,0.090048,0.172928
493.701,0.154016,0.168192
495.987,0.149152,0.173504
496.419,0.168768,0.172576
496.779,0.155648,0.170912
494.686,0.149408,0.176032
494.481,0.16384,0.173152
496.366,0.150496,0.180608
501.697,0.181184,0.178048
549.734,0.154848,0.192032
553.782,0.169952,0.209184
527.767,0.152448,0.181344
561.397,0.16352,0.197152
572.555,0.175456,0.187936
496.339,0.153856,0.19408
554.413,0.156,0.210976
506.996,0.204576,0.214528
510.736,0.162368,0.212992
504.274,0.165952,0.216896
506.721,0.171296,0.222944
509.926,0.164224,0.22
564.074,0.154176,0.206208
572.124,0.15824,0.228448
509.996,0.167968,0.231744
505.137,0.167968,0.23776
506.022,0.158336,0.237536
556.19,0.164608,0.243072
559.43,0.15296,0.23296
575.87,0.239584,0.689088
496.405,0.152608,0.225728
495.46,0.150176,0.218752
564.694,0.164192,0.273024
509.436,0.16272,0.262368
543.305,0.158048,0.239392
567.199,0.166752,0.280064
532.507,0.183872,0.303776
562.092,0.15872,0.248576
609.952,0.16368,0.284288
550.696,0.16656,0.32048
520.711,0.180288,0.299744
510.737,0.241824,0.693984
496.641,0.171296,0.248064
497.711,0.187648,0.252416
499.088,0.172992,0.259488
553.958,0.165408,0.315424
562.931,0.18832,0.277376
556.307,0.156064,0.318464
572.431,0.240928,0.366144
630.14,0.184384,0.3848
520.296,0.204864,0.332064
533.67,0.171552,0.362688
514.462,0.163712,0.343008
507.166,0.16368,0.344128
560.997,0.17824,0.30768
558.271,0.15696,0.355008
513.558,0.159168,0.364448
562.163,0.160032,0.313312
626.51,0.153568,0.369472
555.206,0.159072,0.371104
556.576,0.161504,0.32384
513.121,0.153504,0.341184
499.343,0.166304,0.326752
560.716,0.149472,0.31584
562.073,0.167264,0.398016
559.727,0.156992,0.329856
555.57,0.159584,0.401472
506.651,0.166112,0.40448
506.752,0.163296,0.410656
506.034,0.168288,0.418112
503.471,0.165376,0.421344
507.436,0.16752,0.422144
504.783,0.175552,0.424576
505.294,0.15936,0.435744
505.714,0.16464,0.438784
504.914,0.162368,0.438528
506.137,0.164576,0.447136
503.032,0.158848,0.446016
505.869,0.19648,0.448384
506.531,0.19376,0.471232
